Product_ID,User_ID,Time_ID,HelpfulnessNumerator,HelpfulnessDenominator,CleanedText,Score
36246,157191,510,1,1,i orderd these chip thought i was gonna get at least 2 bag but i onli got 1 bag for 11 00 not iclud s h now that s robberi rip off rip off rip off rip off rip off rip off rip off rip off rip off rip off rip off,1
64238,9829,968,1,2,these gave headach much sugar ingredi sit well i would recommend someon tri eat healthier,1
52435,201142,477,0,1,product good this use product i wish i never bought item,1
57190,213790,1438,0,0,the addit lemongrass green tea alway made favorit green tea i ever i wait brew smell amaz aroma well enjoy tast it comfort tea but tea chang and i get use new tast it satisfi like href http www amazon com gp product b000f6snqm good earth green tea lemongrass tea bag 20 count box net wt 1 3 oz pack 6,1
52761,202115,8,3,4,i receiv box birthday candi tast stale like store somebodi basement soda flat the pop rock melt singl gooey mess packag wet,1
7450,45851,673,1,1,don wast hard earn cash dare i say coffe it even tast like coffe at 4 bag i thought i give tri i let tell bother,1
33190,111895,587,9,13,i puchas regular soda i allerg artifici sweeten whi artifici sweeten regular soda syrup,1
65263,234255,854,0,0,unfortun product meet expect when jar open aroma pleasant earthi the consist honey like thin pancak syrup,1
23066,89955,504,2,6,my dachshund recent need start take pill three time day he figur sometim pill hot dog piec someth tri nonetheless began care check piec spit pill so i tri pill pocket the first one work last time he even tast so pill pocket expens ineffect i cook chicken heart conceal pill insid everi day need look trim bare cover pill i get excit quick feed trim follow main piec pill insid on occas still find like chicken much work quit well far anyway br br obvious pill pocket work good peopl dog,1
4262,29582,216,0,0,product store low qualiti tast qualiti vari great item packag stay away form teriaki plastic like chemic tast,1
47673,189310,59,0,0,second order tast terribl like season stale i thought might one bag tri three,1
62877,14733,468,3,4,best part white chocol buy anywher cheap br br crap crumbl thousand piec take bite even anywher gotta eat kitchen sink messi br br avoid cost buy chewi counterpart instead,1
44662,181306,216,0,0,my fault read care this one small pack seawe i also order anoth brand price came 3 pack i realli shock i open packag saw i order it bad pay attent even price 3 time i paid anoth brand,1
6434,41230,788,6,13,i use food mix can scienc diet lab puppi shelter use issu howev read review i ask manag local pet food store thought brand said not good filler corn anim product he suggest i gradual shift dog blue similar protein carbohydr mix puppi bit older around year move food higher protein content to eas puppi new diet suggest i start mix 1 4 cup new food 3 4 old food day half half etc he also recommend i mix coupl tablespoon can food water make dri food moist he said nutrit content can food import sinc dri food provid substanc i vari can food final also said bulli stick far better dog rawhid basic like eat leather,1
43552,177959,317,5,9,i use truvia best tast sweeten i ever tri br read review suspici i decid tri sweetleaf br what disappoint the tast wors equal sweet low br bad bad bad br br thank great custom servic amazon com i abl get refund,1
43662,17369,1361,2,2,warn even make food licens anoth compani look back bag even list made say guarante canida ask made br br 1 either complet ignor br br 2 given huge run around thing ever got state made even tell compani br br danger pet food recal happen year ago sourc manufactur,1
18041,93423,257,0,5,these like tradit japanes sweet deriv chines sweet flavour taken br the azuki one look innocu enough textur rather disgust it look smooth fact contain rough skin bean shock pass left kind bland earthi flavour offset mild sweet whi would anyon eat anymor strike food poverti stricken time,1
51288,198360,1082,0,0,these definit worst thing i ever eaten good either i use mix make waffl i previous use gluten free waffl mix pretti decent bit eggi mix went sale i decid give shot they tast remind corn flake good way there also unpleas aftertast sinc i got 3 can stuff i donat 2 toss open one i desir make,1
35027,454,2198,1,2,the thing impress speed prepar call browni like piec kid chocol cake choco syrup better littl debbi shelf local supermaket the price absurd half price discount i would look ice cream coupon sorri folk worth money,1
23195,113435,973,0,0,dolor tuna compli intern marin mammal project earth island institut it dolphin safe tuna check,1
71757,249393,1064,0,3,tast like regular powder made ice tea tast noth like real thing br br prop amazon speedi deliveri usual,1
32949,111284,786,0,1,i love strong cup coffe sooooooo bitter over strong medium roast we christma morn even inlaw thought gross,1
65247,47433,918,0,2,i tri product twice time gave headach without ad energi my advic save money even tri product unless like headach,1
16428,28551,874,3,3,this review specif ranch dress may appli flavor i admit i bought gluten free food web site complet miss zero calori descript i know peopl eat zero calori dress use i expect tasti gluten free ranch dress least recogniz ranch dress matter i believ review say stuff flavor well flavor someth like might get took dirti dish rag dip latex paint wrung salad this vile nasti stuff don wast money one,1
12400,68208,467,0,0,i buy antler chase our tail never problem size i purchas 5 7 inch antler one i receiv like 4 inch and darker one my puggl chew two day i disappoint size qualiti one i receiv i go buy anoth one 7 10 inch qualiti small i buy chase our tail again they expens,1
34415,104429,276,0,0,i took one bite threw i give starv kid africa i think would rather starv death,1
4644,31909,674,12,14,lindt chang recip complet blend sweeter leav greasi textur mouth melt what peopl think that custom dumb i disappoint this new chocol suck i feel cheat,1
30016,19545,378,0,1,my dog smart got idea need real quick hard treat come jar even help rope pretti much close jar hole treat wont come this toy made puppi real nervous unfortun i return even though i super excit,1
45641,64121,1934,0,0,warn dog owner this product caus mani dog includ mine diarrhea vomit seizur pleas googl dog food review purina busi bone dental treat click first link result view mount comment complaint br br sure dog toler treat take chanc pet health,1
38523,65562,333,0,0,probabl one disgust food ever pretti open mind thing resembl noth rice disgust gelatin textur flavor similar piec plastic u ever bitten one accid packag strang aroma classifi food high recommend product,1
5177,34459,849,2,4,warn no matter pictur show not tin i order i thought i get tin qualiti street like state pictur and descript all i receiv 2lb plastic jar contain br br i uk anymor order i want tin put xmas tree rekindl old christma tradit like mani year ago i younger safe say happen year br br give rate 1 allow give 0,1
15027,31417,124,0,0,have disagre previous rate this product suppos natur white creami color dark brown last time i check tast bitter lump ingredi bottl guess cloud mixtur proper formul,1
55321,208814,12,0,0,i purchas three brand chickpea treat love two howev i like sweet flavor the good bean one sell sweet flavor without varieti pack i unsur mayb ship play part bean expir rock hard it actual hurt teeth tri bite eat chickpea mayb i got bad bunch pay much real bummer but i give credit yummi cinnamon flavor remind kid cereal i like i younger i think toast crunch cereal brand,1
24301,118007,1063,4,13,i bought gift daughter later decid return aerogrow accept return 30 day i see accept seed packet accept mechan part garden devic i find quit custom unfriend,1
58686,217616,475,0,0,these chip chip impli crunchi like soft cracker i like soft cracker realli tast horribl make kind wonder made product bad,1
42708,175736,444,19,19,i use product 9 year ever sinc went puppi train dog sinc relat healthi treat good tool behavior reinforc i say relat healthi mani dog treat full wheat grain filler the amazon product ingredi list old formul let examin first 8 ingredi formul br br lamb lamb heart lamb kidney lamb lung whole wheat flour rice flour lamb fat preserv mix tocopherol ascorb acid sourc vitamin c sucros br br the first 4 ingredi lamb inclus wheat rice flour fifth sixth ingredi optim allow textur the lamb fat perfect good dog diet eigth ingredi sucros tabl sugar health presum ad palat eight ingredi overal might accept concess br br now check new formul first 8 ingredi natur balanc web site br br lamb lung wheat flour sugar lamb wheat bran lamb heart salt rice flour br br onli 3 first 8 ingredi could consid optim canin health rest filler wors wheat flour sugar displac two meati ingredi top 4 sugar third ingredi overal sugar folk not good dog they taken most healthi treat made sweeter pump filler grain even increas much salt this meat roll longer basic meat flavor dorito avoid cost care dog keep healthi long time br br it bad dog love much i buy better health product make treat shame natur balanc junk product expens anim health,1
5104,34107,970,2,2,my dog usual eat anyth vomit 24 hour period fact still vomit dismay see made china wonder connect,1
28894,67273,819,0,2,i order 4 box 8 nutri grain bar amazon ship 2 i contact custom support told would credit order amount one time except i livid amazon screw order save them money i ask item reship it would cost 8 12 dolllar ship onli becaus amazon screw up i told cancel order reship favor br this except except do not order this item you will be short 2 box,1
21214,106085,941,1,3,i 3 year old iam sinc born late vomit get diahrea 2 300 vet bill i read line mani peopl say thing onc i look rate dog food i ever feed dog,1
13168,73084,24,2,3,anyon own keurig coffeemak obvious enjoy good rich coffe whi anyon would market sell stuff beyond the first thing i notic upon receiv order k cup extrem light shake hear granular substanc insid this clear without doubt instant coffe br the amount charg per box ridicul two box drain case still way better cup,1
49979,56468,120,2,3,the list price right i look onlin site never seen price much found actual price sell weird might good product sneaki sell tactict,1
69666,82157,898,1,1,never tast coffe i felt much sweet even dessert i would order but opinion my friend husband love br i gave,1
33190,20293,999,7,10,we love soda stream usual drink bubbl water plain make syrup easi i purchas root beer flavor whim we pour recommend amount syrup carbon water slurp it ok split second then came tast yuck br br if not persuas splenda natur enjoy aftertast want acquir tast fake sugar product not br br from i buy anyth without read label first,1
46321,38656,179,5,9,the new price attract howev tast horribl mayb old zico coconut water brand might find accept,1
17588,91608,1635,6,8,white trash inde the slim jim size canist great salti dri chewi way i like pepperoni stick snack these moister almost gross i hope i get rid friend come visit drink beer watch footbal i eat probabl well i reorder box,1
36046,18162,83,0,1,if open link smartbon see show pictur packag contain 3 pack dog chew i get bag i reciev singl dog chew i impress look descript bag i get singl pkg 3 not 1 dog chew this made quit expens i order two,1
50774,197043,1145,1,1,i order machin promot contest when i receiv appear use machin dirti instruct it suppos 25 cent machin i put quarter turn dial insert anoth quarter get item machin there one servic product must provid fail miser br pleas proceed caution i would recommend item,1
47608,189134,142,1,4,all potato packag arriv open i live 9 000 ft i know pressur chang blame i order mani potato chip brand past never happen,1
4904,33267,97,0,0,this one mani dishonest compani sneak foul tast chlorin sugar product rip unsuspect custom zero star not one clueless amazon develop,1
14310,78343,1589,7,12,sinc i look truli safe sweeten i read articl product label raw agav nectar it actual chemic refin fructos better system sweeten natur refin wors this blow sinc i found tast realli pleas thought came plant label said heat 118 degre cut sugar so far stevia seem safest stand strong tast expens,1
387,2177,647,0,0,the product imag mislead the imag tomato d o p certifi tomato i receiv,1
50814,197156,214,2,2,i excit flavor tea come reseal pouch it came regular brown bag though smell divin definit old stale the tast unpleas even though i play around water temperatur brew time veri disappoint wast money i throw away do not buy,1
7196,603,288,2,3,that problem i order case 12 good half time best kettl chip the best i get case wors potato meali old i throw order expens but made good fresh potato best last case prompt write potato weird like almost sour go bad i even wrote compani make so want best kettl chip tri one get not best tri br i done order creep use sour potato either notic care,1
58778,36964,36,0,0,i bought hope would healthi fill snack late afternoon work i disappoint they not tast good small expens not good purchas,1
63882,230431,250,1,4,i thought i get 4 envelop per box envelop make 2 quart instead i sent packag individu portion individu water bottl if i known i go get i never would order item mislead,1
39180,76762,530,0,2,this not six item pictur contain 6 instant packet br br this six sampl packag contain 3 instant packet,1
25836,123031,2241,0,4,our dog eat their dri food but won t eat their wet food i wish i could return the 11 can,1
47639,61850,748,2,4,look pictur peopl it s gunpowd green tea br the gunpowd tea call resembl smokeless gunpowd br the tea leav roll veri tight round ball steam and look like good green tea clear gunpowd tea br witch far expens qualiti addit step prepar br that ordinari green tea might tast good gunpowd tea br witch extra step roll far stronger better health befit br as organ br br well lie mistaken what tea would trust right organ br br you bean cheat br br so anyon interest buy bridg brooklyn br br or nice beach properti nevada br br i give davidson tea bulk benefit doubt lie wrong show pictur product normal green tea br now i seen offer real gunpowd tea offer but i buy product compani know littl product as honest mistaken ignor sell make wors knew sell lie br stupid regrett forev br br no excus one know one sell,1
46741,117394,780,0,3,my fianc know much i like chocol thyme this slam dunk right well might think problem two flavor tast good individu tast good togeth that the thyme must get burnt process make bar aw my fianc i shock bad tast like burnt plant chocol avoid,1
26638,6334,328,0,1,this item seem like great idea conveni non messi way carri treat dog it like roll deodor contain bottl fluid roll ball top bring fluid top ball spun it rich bacon smell smell littl dog 7 lb maltes interest i get lick beyond first tentat tast i think novel deliveri threw tast i believ larger dog one tongu swipe would clear refresh ball might better receiv br br i back tri larger dog success he want take whole thing mouth br br this seem like good idea might work start use puppi train devic perhap could train older dog use proper certain not worth effort,1
25999,89956,364,0,0,bewar cocker allerg wheat corn this food full grain known caus allergi dog i bought niec cocker spaniel skin allergi initi problem dog love food 3 cat household within coupl week howev dog allergi back vengeanc i believ rc make food tasti anim nutrit question br i tri royal canin cat food cat worst gas imagin switch well problem clear note ingredi list amazon look elsewher site like dogfoodadvisor com find royal canin food general get good grade there much better food market price well blue wilder tast wild mention it great idea develop breed specif food case royal canin i believ noth market ploy,1
34028,151041,287,0,0,this virgil black cherri creme soda drink tast exact like cherri cough syrup horribl sweeten flavor factor ten this beverag posit undrink i unfortun bought case it posit sicken one swallow enough i pour 24 bottl drain unus unless someon want pour ice cream use cherri syrup perhap grade school child might abl toler i love creme soda absolut horribl br br virgil plain creme soda much better it tast like root beer instead creme soda br br there hawaiian brand creme soda cane sugar wonder but avail limit suppli waialua creme soda be sure spell creme cream otherwis wont come it avail limit time limit quantiti site best i ever tast,1
45454,183552,1023,0,0,i even tast chocol it tast like dirt brew hot water i mani left i bear drink absolut horribl,1
22895,112391,582,2,10,i tri one tast okay the drink gave jitter end day pretti bad crash the product also gave dri mouth day long matter much water i drank afterward i tri allot energi drink drank mani 3 amp one day never experienc anyth like i tri product i recommend,1
19313,29349,752,2,3,i bought two bag origin deliv novemb 16th br br the first bag good it soft piec jerki mix annoy hard piec jerki the meat nice fat meat ratio know bite fatti piec meat howev hard piec tendon sinew on piec i could pull silver sinew use floss teeth not palat general jerki somewhat graini due spice palat a strong pepperi tast permeat jerki i felt like piec mix proper piec meat salti other br br the tast quit enjoy i known eat anyth acquir tast if mind fish bad part br br howev second bag develop kind mold i start second bag without know bag contain mold ball right middl bag about half way i found moldi meat i read occur peopl product i dismiss freak chanc br br the mold white remind bread fluff the mold bitter i reach bag piec jerki bit moldi piec i prompt spat saw middl part bag fulli rotten imho br br would i buy product br br no 50 chanc get moldi meat well i wanna chanc,1
74176,17419,973,0,0,agre review point wateri acid tomato it tast like beef it littl sweet tomato good way i think problem happi babi food i tri sweet mayb appeal babi tast this work well fruit veggi much meat chicken i want babi eat savori food the textur appeal mushi quinoa glob again meat i guess i stick fruit pouch make babi meat girl love,1
46145,28340,811,0,0,these review wrong it may work i could swallow disgust swill i mani tea let describ one get compost garden store brew french press the burnt leaf tast pungent take pill buy earl grey,1
8273,50780,141,2,2,shocker favorit candi the candi stale i buy store be warn,1
25869,123197,628,0,0,they must chang product sinc previous review said good i tri first time horribl after follow packag direct add water microwav soften noodl far readi eat sauc packet enough moisten suffici and tast terribl what disappoint i eat maruchan quit awhil great way better,1
42959,133953,1318,9,14,i bought use raw syrup find raw natur syrup this like honey mapl syrup it process high fructos syrup the real differ agav high fructos corn syrup corn now look product grant agav suppos organ probabl chemic non gm howev opinion health food it heavili refin do research buy,1
28164,130930,1452,3,4,lt href target blank lt br br my daughter easili broke piec start choke when piec fell i notic blood drip corner face never i stick happi babi,1
23739,38212,16,0,0,we buy onno behrend tea time br last purchas notic br expir date packag we contact amazon br sent us new one still expir date br we contact contact import br said abl provid expir br date tea br br we consum lot tea buy world br this first time came across packag tea br expir date tea produc germani br br so buyer awar tea might produc br know they may even antiqu,1
68994,89947,1012,1,2,my puppi love greeni pillpocket regular treat when i first discov vet offic use beef flavor one eventu i decid see would like duck pea flavor i open bag odor treat made roommat boyfriend gag even dog less excit love i mean love beef pill pocket i set one see go vacuum cleaner dog went straight beef she eat duck one thing avail i plan tri chicken flavor point i think stick beef,1
43662,17305,434,0,0,brought one small packag canidea oversea agent 2week ago puppi tri french brand first mix togeth seem ok old finish someth weird happen start eat stool yes also vomit white yellowish foam cough total swish brand even sent vet check blood take pill medic treat think might catch cold anyway feel lucki vet cost much cheaper br refus eat littl realli hungri time rather bite bone glad saw comment chang brand asap,1
13878,17500,1222,1,1,i use huge fan wild salmon 4g protein great ingredi order anoth 16 pack discov reformul complet differ it realli liquid imposs unskil careless self feeder much left spoon time get mouth may okay younger babi self feed yet though also 1g protein sure less salmon anyway menu i disappoint lost health conveni option,1
61321,224733,215,0,0,i regret much purchas what wast money if delic fine palat abl figur tast easili tast lot like water diet sugar make wanna puke i feel disappoint i rather done,1
24199,2123,942,1,2,i disappoint after read great review i decid order tea i excit arriv immedi brew cup it no flavor it like drink warm water i find hard believ even talk tea ad bit honey give tast honey what i wrong correct temp correct brew time tast to give idea tast tea i purchas i enjoy i realli like href http www amazon com gp product b000f0fozq guayaki greener green tea blend tea bag 16 count packag pack 6 i get low purchas dilmah tea replac due better price big mistak the greener green realli delici flavor my favorit i also enjoy href http www amazon com gp product b000satifa davidson tea bulk gunpowd green 16 ounc bag href http www amazon com gp product b000satie6 davidson tea bulk organ south african rooibo 16 ounc bag that great bedtim tea and i enjoy href http www amazon com gp product b000cqg8as stash premium fusion green white tea tea bag 18 count box pack 6 href http www amazon com gp product b000cqg8bc stash premium decaf premium green tea tea bag 18 count box pack 6 all great i also purchas href http www amazon com gp product b000sanuek davidson tea bulk silver needl 16 ounc bag found kind weak side in attempt get flavor cup dilmah tea i tri brew 2 teabag that result flavor much i get much flavor second brew gunpowd tea leav i feel bad give 1 star easili wors tea i ever tast a total wast money what i wrong,1
6696,42130,379,7,10,worst item imit food i ever eaten tast horribl too sweet textur like gritti gummi bear gummi bear tast better veri high calori blueberri beer tast like blueberri abomin i like lot stuff i buy costco kirkland disgrac buy frozen blueberri deal color eat raisin better eat tic tac,1
56312,102762,1515,1,1,i realli high hope mtr product given high review i seen amazon i bought 5 pack veget mix disgust i passion indian cook cook indian food least 4 time week indian first mtr seem use exact sauc base curri i bought paneer makhani revolt flavor base sauc right if tell indian flavor i disagre but indian spice need use better must matur proper cook hot oil ad aromat right amount etc and veget semi raw flavor insid veggi poor man emerg meal way earth even remot deserv number star veri bad food inde,1
54120,205850,345,2,2,this thing worthless when take packag note much smell anyway i thought great for sure dog dig nope he serious snif look walk away i go tri potti rock next,1
69666,82558,791,1,1,i incred disappoint french vanilla cappuccino it water tast even smaller cup set i certain find differ brand,1
70989,247632,1093,1,6,i order product mid august it sept 15 i still not reciev shipment everi day i receiv notic state deliveri date push anoth week i cannot cancel order alway ship soon mode i love product i high recommend go differ vendor,1
55180,208415,213,0,1,i wish i read previous review buy coffe despit light roast label bag coffe fact veri dark roast bean cover oil tast burnt dark roast complet destroy flavor kona bean would ad blend end tast like nasti tarbuck blend avoid,1
7145,44211,808,1,1,i love stroopwafel tri sort the kind come shipper stroopi stroopwafel nice brand instead 40 count advertis 8 arriv fanci blue tin i need the tin even sticker top say 40 count either someon embezzl stroopwafel mislead advertis so be awar this read 8 count 40 make price point pretti differ,1
42885,136488,227,0,0,when i receiv order i expect 12 pkgs one miss after tast i find i miss anyth terribl tast,1
9271,55546,1204,12,14,bought nacho chip regular kid last deliveri came non gmo label packag anymor still use organ corn use non organ canola oil non organ canola like genet modifi someth i want bodi will buy product,1
64291,54374,1126,0,1,i purchas pepperidg farm cooki famili member sick hospit the cooki expir date 5 2 2012 stale this embarrass disappoint say least this tell food product good buy amazon,1
17639,91844,583,0,2,i brought product instal one month ago few day ago i inspect mufuct i sent email manufactur without respons,1
12812,36060,697,10,10,as simpl nutrit inform not accur br iron content purpl bag 2 not 45 state pouch br light green pouch rutabaga contain iron 4 not 120 state packag br we fed 2 pack daili 1 light green rutabaga 1 purpl one pumpkin girl sinc 3 5 month old br br what disappoint this compani held account caus anem malnutrit infant br wow i hard keep emot br fda control anyon,1
43773,10833,1716,13,20,we receiv bonito flake today seem expir alreadi 2003 product date we got lot expir eden product includ one amazon month cannot return due amazon polici the latest eden promot ship overstock clear item remaind past warehous leftov we also found true major amazon groceri promot everi month wherev discount code enter bewar sale practic order especi larg quantiti consum immedi,1
66281,236465,687,0,0,i didnt like tast way salti now im stuck huge box im hope inspir get creativ find use,1
8479,7022,609,0,0,yuck tast good quit tough better buy bag rind alreadi prepair,1
49852,194573,82,1,2,don know start bad sauc it tast worst amount salt almost 1 000mg 4oz packag i even know get salti i took one bite kind burn mouth aftertast gargl salt water the hous brand infinit better i thought i tri chang,1
50985,22984,295,8,8,bewar tell stuff high corn syrup candi food br br amaz nutrit info leav ingredi,1
7176,44476,24,0,1,if tmj steer far away it ined never mind tast complet bland somewhat chalki veri tough chew someon tmj issu i made mistak look pictur spot nougat realli chewi i mean i handl room temperatur clif bar br br mayb i microwav one left box make edibl,1
69334,99391,97,0,0,eukanuba well respect name pet food bit pricier big brand so want switch cat caesar iam saw sale i figur i get quit bargain oh folli br br chicken product meal corn grit corn meal three four top ingredi this high cost buy product corn if want continu give crappi ingredi kept buy iam save cash mention fact caesar actual like i imagin weight loss claim probabl true cat would eat enough get hate we decid chang new brand half bag phase new food eukanuba grow proport throughout short period kibbl brand alway gone first br br if caesar like i probabl stick principl i think i pay top dollar substandard ingredi luckili caesar came conclus,1
60324,200150,533,3,4,this origin it stride 2 0 garbag tast aw doesnt last long br in case arent sure check wrapper the new stuff tinfoil instead paper,1
15119,81602,476,1,1,i would recommend product anyon care pet appar manufactur product take measur insur product safe i order correct size bone labrador retriev accord manufactur size chart brand new packag 10 minut dog chew bone larg piec size marbl broke dog swallow i examin bone discov numer air bubbl cast make bone weak suscept break i hope consum part product pass without complic i buy product go normal beef bone futur,1
38725,11008,802,1,1,i buy treat cavachon past two year he love br br the last batch notic lower qualiti dri crunchi rather moist chewi i know due shift manufactur us china coincident in event i buy switch treat br br note amazon would let return item i within 30 day purchas period i pleas,1
38878,164630,416,4,6,i read review tast product less ideal shrug plan use brealfast along oat that first time real eye open it tast horibbl first but sinc order continu use smaller dose went two spoon three stop 4 i gotten accustom tast somewhat cant see make protein drink i put lot sweeten make platabl goe counter tri make low calori protein drink br br additionali 11g protein 4 tablespoon u big person like wont realli get enough protein allot serv stuff i would recommend increas serv size quit lot fat per serv even though sugar and amount sweetner need make tast drinkabl would cancel benefit br br i also tri mix anoth protein drink tast good felt could get best world fiber product tast high protein content it tast ok wast money two set protein just get better product eat vege i stick old product will never buy,1
42975,51828,696,0,0,i order product puppi similar treat realli like i order gave one treat his stomach got realli upset threw bad potti if puppi sensit stomach i might tri someth differ,1
63905,118626,720,1,3,i alway hate write bad review goe br br i know tomato tast i tri i open care wrap box everi everi singl dent 24 can one sever dent even stand br br none top bulg i open need see but i say i cancel subscrib save tomato veri disappoint could best tast tomato never tast good base can br br qualiti control realli take break pack can shame,1
3944,27119,1191,4,6,i agre review this truli worst tast beverag i ever tri i could even finish one i threw away complet wast money,1
31656,91736,690,0,1,i sign reoccur month shipment 17 oz vita coco peach mango pineappl flavor i happi product howev i receiv 10 box advertis 12 i would bewar buy reoccur shipment might get everyth order br br i abl return product tri find report amazon correct way buyer bewar,1
39393,166095,1035,2,3,has no hazelnut flavor whatsoev dent can mailer cardboard box damag excel deliveri servic via amazon,1
20884,105120,798,0,1,the spray applic blue bottl frequent stick often defect the product keep deer away advertis applic aw the product often stick bottl cannot spray trigger break i think make product thick applic handl,1
71044,5897,623,1,1,i open 5 oz best date 090214 it full webbi clump paprika bug crawl around absolut first i never buy hungarian paprika,1
32969,147493,639,1,1,do buy get one mustard 3 shown not worth price small jar mustard contact supplier got snoti repli,1
65679,173993,1351,4,4,kroger sell one 12 00 wal mart sell one 9 99 so two 41 00 deal ever good price,1
50092,146709,422,6,8,somebodi dump mar bar brown envelop one smash envelop open least couldv wrap candi plastic i think tacki lousi way busi,1
39397,166160,772,0,0,i tri senseo brand decaf great price friday sale unfortun turn expens purchas tri two cup i drink anymor coffe it tast horribl mayb batch chemic tast,1
59230,169075,145,1,1,i agre other comment aftertast i order review conveni excit tri i made cooki weekend stand tast batter cooki i hope cook would get rid bad tast my husband daughter mind son i eat be awar item return tri bag store first i unfortun,1
64061,41251,73,0,0,pleas make sure buy small box first make sure like befor buy i think terribl,1
14912,80681,941,2,2,i love walden farm i order salad dress syrup quantiti glad pay ship priviledg the day i heb experienc great joy see carri almost dress sever fruit spread then i saw peanut butter i knew made one look forward tri someday br br base qualiti product i use year i bought 2 jar well i open first one revuls level the color color natur color someth i want eat the smell sweet chemic way the textur textur i tast yuck tri yuck br br the product remot smack peanut nut matter this person not picki br br happili jar glass therefor reusabl worthi item i go tri p2b instead i find crave peanut butter necessari degre i think i pb br br btw i kind review,1
55603,10673,237,1,1,i sure like ingredi descript even smell treat but three cat even intrigu enough tast regret given treat one star the treat realli larg probabl suitabl dog of cours i broke treat manag size cat still luck well cat known finicki mine except one day love someth next day could care less i give remaind treat daughter three dog updat review fact shed differ light raw boost bite,1
71896,56493,564,6,15,been buy dark magic 4 year favorit was suppos price 2 pack never paid 50 cent buzz,1
